Start Time: 2024-12-28 17:54:28.320488 | End Time: 2024-12-28 17:54:28.320493 | Operation: backup | Status Code: Success | Message: File Position_Salaries.csv successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\qaz\Position_Salaries.csv. | Status: Success | User: qaz | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\qaz\Position_Salaries.csv | Data Size: 246 bytes
Start Time: 2024-12-28 17:59:08.520890 | End Time: 2024-12-28 17:59:08.520893 | Operation: backup | Status Code: Success | Message: File daasdasd.txt successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\qaz\daasdasd.txt. | Status: Success | User: qaz | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\qaz\daasdasd.txt | Data Size: 0 bytes
Start Time: 2024-12-28 18:02:46.567332 | End Time: 2024-12-28 18:02:46.567336 | Operation: backup | Status Code: Success | Message: File daasdasd.txt successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\c\daasdasd.txt. | Status: Success | User: c | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\c\daasdasd.txt | Data Size: 0 bytes
Start Time: 2024-12-28 18:11:57.189941 | End Time: 2024-12-28 18:11:57.189945 | Operation: backup | Status Code: Success | Message: File abc.txt successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\qaz\abc.txt. | Status: Success | User: qaz | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\qaz\abc.txt | Data Size: 0 bytes
Start Time: 2024-12-28 23:07:22.558147 | End Time: 2024-12-28 23:07:22.558151 | Operation: backup | Status Code: Success | Message: File YAZILIM GELİŞTİRME I - PROJE II.pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\e\YAZILIM GELİŞTİRME I - PROJE II.pdf. | Status: Success | User: e | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\e\YAZILIM GELİŞTİRME I - PROJE II.pdf | Data Size: 85867 bytes
Start Time: 2024-12-28 23:07:28.553005 | End Time: 2024-12-28 23:07:28.553012 | Operation: backup | Status Code: Success | Message: File YAZILIM GELİŞTİRME I - PROJE II.pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\e\YAZILIM GELİŞTİRME I - PROJE II.pdf. | Status: Success | User: e | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\e\YAZILIM GELİŞTİRME I - PROJE II.pdf | Data Size: 85867 bytes
Start Time: 2024-12-29 12:51:32.406700 | End Time: 2024-12-29 12:51:32.406702 | Operation: backup | Status Code: Success | Message: File Module-Unit-Testing.docx successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\c\Module-Unit-Testing.docx. | Status: Success | User: c | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\c\Module-Unit-Testing.docx | Data Size: 51588 bytes
Start Time: 2024-12-29 14:21:16.869482 | End Time: 2024-12-29 14:21:16.869488 | Operation: backup | Status Code: Success | Message: File IEEE_Template.docx successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\fatih\IEEE_Template.docx. | Status: Success | User: fatih | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\fatih\IEEE_Template.docx | Data Size: 29511 bytes
Start Time: 2024-12-29 14:21:21.788950 | End Time: 2024-12-29 14:21:21.788959 | Operation: backup | Status Code: Success | Message: File asdf.txt successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\fatih\asdf.txt. | Status: Success | User: fatih | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\fatih\asdf.txt | Data Size: 0 bytes
Start Time: 2024-12-29 14:21:27.200022 | End Time: 2024-12-29 14:21:27.200032 | Operation: backup | Status Code: Success | Message: File SQL Homework.pdf successfully backed up to C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YedeklenmişDosyalar\fatih\SQL Homework.pdf. | Status: Success | User: fatih | Source Path: C:\\Users\\İzzet\\Desktop\\FileBackupSystem\\Dosyalar\\YüklüDosyalar\fatih\SQL Homework.pdf | Data Size: 26026 bytes
